Topic_ID,Top_Words,Top_5_Words
1,"spotify, music, app, premium, update, feature, new, user, like, free","spotify, music, app, premium, update"
2,"app, account, offline, downloaded, ive, internet, log, time, tried, even","app, account, offline, downloaded, ive"
3,"ad, minute, add, song, every, many ad, free, many, watch, get","ad, minute, add, song, every"
4,"song, play, playlist, cant, listen, app, want, premium, like, shuffle","song, play, playlist, cant, listen"
5,"app, playing, stop, song, spotify, music, phone, play, time, fix","app, playing, stop, song, spotify"
