Word,Frequency
music,4303
app,4138
song,3687
spotify,3303
love,1870
playlist,1861
like,1586
premium,1523
great,1443
listen,1389
good,1220
play,1049
one,902
get,901
would,901
use,889
really,845
best,835
dont,757
ive,742
